Release Date,Season,Episode,Episode Title,Name,Sentence,Emotion,Score
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",daenerys targaryen,It's a gift. I had it made for you.,neutral,0.376956969499588
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",viserys targaryen,Dothraki rags? Are you going to dress me now?,surprise,0.4593580663204193
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",daenerys targaryen,Please.,neutral,0.7684522271156311
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",viserys targaryen,This stinks of manure. All of it.,disgust,0.9696873426437378
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",daenerys targaryen,Stop - stop it.,anger,0.8957403898239136
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",viserys targaryen,"You would turn me into one of them, wouldn't you? Next you'll want to braid my hair.",disgust,0.3140062689781189
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",daenerys targaryen,You've no right to a braid. You've won no victories yet.,neutral,0.476694792509079
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",viserys targaryen,You do not talk back to me!,anger,0.9152523279190063
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",viserys targaryen,You are a horselordo s slut. And now you've woken the dragon...,disgust,0.7382736206054688
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",daenerys targaryen,I am a Khaleesi of the Dothraki! I am the wife of the great Khal and I carry his son inside me. The next time you raise a hand to me will be the last time you have hands.,neutral,0.3200085759162903
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",sam tarly,I know for a fact that some of the officers go to that brothel in Mole's Town.,disgust,0.9147344827651978
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",jon snow,I wouldn't doubt it.,neutral,0.7127795219421387
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",sam tarly,Don't you think it's a little bit unfair? Making us take our vows while they sneak off for a little sally on the side?,anger,0.5571661591529846
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",jon snow,Sally on the side?,surprise,0.6116862297058105
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",sam tarly,"It's silly, isn't it? What, we can't defend the Wall unless we're celibate? It's absurd.",disgust,0.8108257055282593
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",jon snow,I didn't think you'd be so upset about it.,surprise,0.9279440641403198
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",sam tarly,Why not? Because I'm fat? But I like girls just as much as you do. They might not like me as much. I've never... been with one. You've probably had hundreds.,neutral,0.6426705718040466
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",jon snow,"As a matter of fact, I'm the same as you.",neutral,0.954643189907074
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",sam tarly,I find that hard to believe.,surprise,0.705154299736023
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",jon snow,"I came very close once. I was alone in a room with a naked girl, but...",fear,0.7573495507240295
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",sam tarly,You didn't know where to put it?,surprise,0.8284221291542053
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",jon snow,I know where to put it.,neutral,0.9136939644813538
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",sam tarly,Was she... Old and ugly?,disgust,0.7527552843093872
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",jon snow,Young and gorgeous. A whore named Ros.,disgust,0.5374899506568909
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",sam tarly,What color hair?,neutral,0.6936259865760803
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",jon snow,Red.,neutral,0.8631654977798462
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",sam tarly,I like red hair. And her... Her...,neutral,0.5400482416152954
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",jon snow,You don't want to know.,disgust,0.40538448095321655
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",sam tarly,That good?,surprise,0.4905828833580017
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",jon snow,Better.,neutral,0.5896089673042297
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",sam tarly,Oh no. So why exactly did you not make love to Ros with the perfect...,surprise,0.7071861624717712
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",jon snow,What's my name?,surprise,0.48068967461586
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",sam tarly,Jon Snow?,surprise,0.7035209536552429
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",jon snow,And why is my surname Snow?,surprise,0.7692722678184509
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",sam tarly,Because... You're a bastard from the north.,anger,0.8305454850196838
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",jon snow,"I never met my mother. My father wouldn't even tell me her name. I don't know if she's living or dead. I don't know if she's a noblewoman or a fisherman's wife... Or a whore. So I sat there in the brothel as Ros took off her clothes. But I couldn't do it. Because all I could think was what if I got her pregnant and she had a child, another bastard named Snow? It's not a good life for a child.",disgust,0.8479398488998413
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",sam tarly,So... You didn't know where to put it?,surprise,0.829173743724823
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",alliser thorne,"Enjoying yourselves? You look cold, boys.",sadness,0.2979024648666382
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",sam tarly,It is a bit nippy.,neutral,0.7194640636444092
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",alliser thorne,"A bit nippy, yeah, by the fire, indoors. It's still summer. Do you boys even remember the last winter? How long has it been now? What, 10 years? I remember. Was it uncomfortable at Winterfell? Were there days when you just couldn't get warm, never mind how many fires your servants built?",fear,0.36772990226745605
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",jon snow,I build my own fires.,neutral,0.4918944239616394
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",alliser thorne,"That's admirable. I spent six months out there, beyond the Wall during the last winter. It was supposed to be a two-week mission. We heard a rumor Mance Rayder was planning to attack Eastwatch. So we went out to look for some of his men... Capture them, gather some knowledge. The Wildlings who fight for Mance Rayder are hard men. Harder than you'll ever be. They know their country better than we do. They knew there was a storm coming in. So they hid in their caves and waited for it to pass. And we got caught in the open. Wind so strong it yanked 100-foot trees straight from the ground, roots and all. If you took your gloves off to find your cock to have a piss, you lost a finger to the frost. And all in darkness. You don't know cold. Neither of you do. The horses died first. We didn't have enough to feed them, to keep them warm. Eating the horses was easy. But later when we started to fall... That wasn't easy. We should have had a couple of boys like you along, shouldn't we? Soft, fat boys like you. We'd have lasted a fortnight on you and still had bones leftover for soup. Soon we'll have new recruits and you lot will be passed along to the Lord Commander for assignment and they will call you men of the Night's Watch, but you'd be fools to believe it. You're boys still. And come the winter you will die... Like flies.",neutral,0.5459602475166321
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",daenerys targaryen,I hit him. I hit the dragon.,anger,0.5600713491439819
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",jorah mormont,Your brother Rhaegar was the last dragon. Viserys is less than the shadow of a snake.,neutral,0.6268969774246216
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",daenerys targaryen,He is still the true King.,neutral,0.9568688273429871
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",jorah mormont,The truth now,neutral,0.49457865953445435
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",daenerys targaryen,No. But the common people are waiting for him. Illyrio said they're sewing dragon banners and praying for his return.,neutral,0.9529780149459839
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",jorah mormont,"The common people pray for rain, health and a summer that never ends. They don't care what games the high Lords play.",neutral,0.9439770579338074
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",daenerys targaryen,"What do you pray for, Ser Jorah?",neutral,0.6821781992912292
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",jorah mormont,Home.,neutral,0.9131438732147217
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",daenerys targaryen,I pray for home too. My brother will never take back the Seven Kingdoms. He couldn't lead an army even if my husband gave him one. He'll never take us home.,sadness,0.5938719511032104
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",petyr baelish,Lover's quarrel?,anger,0.7990821599960327
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",sansa stark,I'm sorry. Do I...?,surprise,0.44167041778564453
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",septa mordane,"Sansa dear, this is Lord Baelish. He's known...",neutral,0.6195611953735352
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",petyr baelish,An old friend of the family. I've known your mother a long long time.,neutral,0.42136654257774353
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",arya stark,Why do they call you Littlefinger?,neutral,0.5036535859107971
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",sansa stark,Arya!,surprise,0.3072172701358795
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",septa mordane,Don't be rude!,anger,0.934418261051178
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",petyr baelish,"No, it's quite all right. When I was a child I was very small and I come from a little spit of land called The Fingers, so you see, it's an exceedingly clever nickname.",neutral,0.6515905857086182
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",robert baratheon,I've been sitting here for days! Start the damn joust before I piss myself!,anger,0.8683488965034485
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",sansa stark,"Gods, who is that?",surprise,0.7937023043632507
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",petyr baelish,Ser Gregor Clegane. They call him the Mountain. The Houndo s older brother.,neutral,0.9070096015930176
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",sansa stark,And his opponent?,surprise,0.6493558883666992
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",petyr baelish,Ser Hugh of the Vale. He was Jon Arryn's squire. Look how far he's come.,disgust,0.38580045104026794
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",robert baratheon,"Yes, yes. Enough of the bloody pomp. Have at it!",anger,0.9142736792564392
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",petyr baelish,"Not what you were expecting? Has anyone ever told you the story of the Mountain and the Hound? Lovely little tale of brotherly love. The Hound was just a pup, six years old maybe. Gregor a few years older, already a big lad, already getting a bit of a reputation. Some lucky boys just born with a talent for violence. One evening... Gregor found his little brother playing with a toy by the fire... Gregor's toy, a wooden knight. Gregor never said a word, he just grabbed his brother by the scruff of his neck and shoved his face into the burning coals. Held him there while the boy screamed, while his face melted. There aren't very many people who know that story.",neutral,0.5054486989974976
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",sansa stark,I won't tell anyone. I promise.,neutral,0.687298595905304
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",petyr baelish,"No, please don't. If the Hound so much as heard you mention it, I'm afraid all the knights in King's Landing would not be able to save you.",fear,0.9639005661010742
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",jory cassel,"My Lord, Her Grace the Queen.",surprise,0.8017334342002869
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",eddard stark,Your Grace.,neutral,0.8369210958480835
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",cersei lannister,You're missing your tournament.,sadness,0.44261422753334045
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",eddard stark,Putting my name on it doesn't make it mine.,neutral,0.6684735417366028
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",cersei lannister,I thought we might put what happened on the Kingsroad behind us – the ugliness with the wolves. And forcing you to kill the beast was extreme. Though sometimes we go to extremes where our children are concerned. How is Sansa?,disgust,0.8079391121864319
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",eddard stark,She likes it here.,joy,0.49634870886802673
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",cersei lannister,"The only Stark who does. Favors her mother, not much of the north in her.",neutral,0.6786016225814819
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",eddard stark,What are you doing here?,surprise,0.7159136533737183
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",cersei lannister,I might ask the same of you. What is it you hope to accomplish?,neutral,0.90625
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",eddard stark,"The King called on me to serve him and the realm, and that's what I'll do until he tells me otherwise.",neutral,0.7990013957023621
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",cersei lannister,"You can't change him. You can't help him. He'll do what he wants, which is all he's ever done. You'll try your best to pick up the pieces.",anger,0.451393723487854
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",eddard stark,"If that's my job, then so be it.",neutral,0.8289788961410522
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",cersei lannister,"You're just a soldier, aren't you? You take your orders and you carry on. I suppose it makes sense. Your older brother was trained to lead and you were trained to follow.",neutral,0.5314892530441284
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",eddard stark,"I was also trained to kill my enemies, Your Grace.",anger,0.5847607254981995
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",cersei lannister,As was I.,neutral,0.9002751111984253
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",marillion,"Seven blessings to you, goodfolk!",joy,0.7354528307914734
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",catelyn stark,And to you.,neutral,0.7809877991676331
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",rodrick cassel,"Boy! Bread, meat and beer, quickly.",surprise,0.6716408133506775
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",marillion,"Good idea, grandfather. I'm starving. A song while we wait or?",neutral,0.6953429579734802
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",rodrick cassel,I'd rather throw myself down a well.,sadness,0.5187208652496338
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",marillion,"Grandfather, may be your last chance if you're heading north. The only music the northerners know is the howling of wolves!",fear,0.45000356435775757
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",masha heddle,"I'm sorry, my Lord, we're full up. Every room.",surprise,0.6592537760734558
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",tyrion lannister,"My men can sleep in the stable. As for myself, I don't require a large room.",neutral,0.9241300821304321
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",masha heddle,"Truly, my lord, we have nothing.",disgust,0.48099660873413086
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",tyrion lannister,Is there nothing I can do... to remedy this?,sadness,0.5682834386825562
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",bronn,You can have my room.,neutral,0.8108617663383484
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",tyrion lannister,"There's a clever man. You can manage food, I trust? Yoren, dine with me.",neutral,0.9303050637245178
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",yoren,"Aye, my Lord.",disgust,0.7381671071052551
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",marillion,My Lord of Lannister! Might I entertain you while you eat? I can sing of your father's victory at King's Landing!,joy,0.8403705358505249
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",tyrion lannister,Nothing would more likely ruin my supper. Lady Stark! What an unexpected pleasure. I was sorry to have missed you at Winterfell.,sadness,0.46781960129737854
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",masha heddle,Lady Stark.,neutral,0.2760940492153168
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",catelyn stark,"I was still Catelyn Tully the last time I stayed here. You, Ser... Is that the black bat of Harrenhal I see embroidered on your coat?",neutral,0.426270991563797
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",knight of house whent,"It is, my Lady.",neutral,0.9255661964416504
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",catelyn stark,And is Lady Whent a true and honest friend to my father... Lord Hoster Tully of Riverrun?,neutral,0.570311963558197
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",knight of house whent,She is.,neutral,0.5377635359764099
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",catelyn stark,The red stallion was always a welcome sight at Riverrun. My father counts Jonas Bracken amongst his oldest and most loyal bannermen.,joy,0.9689607620239258
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",knight of house bracken,Our lord is honored by his trust.,neutral,0.49160563945770264
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",tyrion lannister,"I envy your father all his fine friends, but I don't quite see the purpose of this.",anger,0.41891682147979736
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",catelyn stark,Knight of House Frey,neutral,0.5423147082328796
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",catelyn stark,"This man... Came into my house as a guest and there conspired to murder my son, a boy of 10. In the name of King Robert and the good Lords you serve, I call upon you to seize him and help me return him to Winterfell to await the king's justice.",anger,0.7205654382705688
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,eddard stark,Does Ser Hugh have any family in the capital?,neutral,0.8389041423797607
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,barristan selmy,No. I stood vigil for him myself last night. He had no one else.,fear,0.5432068705558777
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,eddard stark,He'd never worn this armor before.,neutral,0.4339752495288849
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,barristan selmy,Bad luck for him... Going against the Mountain.,sadness,0.42620980739593506
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,eddard stark,Who determines the draw?,neutral,0.9163666367530823
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,barristan selmy,"All the knights draw straws, Lord Stark.",disgust,0.4411810636520386
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,eddard stark,"Aye... But who holds the straws? You've done good work, Sisters.",neutral,0.4839280843734741
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,barristan selmy,Life is strange. Not so many years ago we fought as enemies at the Trident.,surprise,0.49208804965019226
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,eddard stark,"I'm glad we never met on the field, Ser Barristan... as is my wife. I don't think the widow's life would suit her.",joy,0.9111089110374451
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,barristan selmy,You're too modest. I've seen you cut down a dozen great knights.,neutral,0.4457436800003052
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,eddard stark,My father once told me you were the best he'd ever seen. I never knew the man to be wrong about matters of combat.,neutral,0.4461546540260315
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,barristan selmy,"He was a fine man, your father. What the Mad King did to him was a terrible crime.",fear,0.7360032796859741
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,eddard stark,And that lad... He was a squire until a few months ago. How could he afford a new suit of armor?,surprise,0.756958544254303
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,barristan selmy,Perhaps Lord Arryn left him some money? I hear the King wants to joust today.,neutral,0.8888729810714722
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,eddard stark,Yes. That will never happen.,neutral,0.5880802869796753
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,barristan selmy,Robert tends to do what he wants.,neutral,0.8396647572517395
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,eddard stark,"If the King got what he wanted all the time, we'd still be fighting a damned rebellion.",anger,0.7109639048576355
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,lancel lannister,"It's made too small, Your Grace. It won't go.",neutral,0.5039434432983398
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,robert baratheon,Your mother was a dumb whore with a fat arse. Did you know that? Look at this idiot! One ball and no brains. He can't even put a man's armor on him properly.,disgust,0.5031959414482117
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,eddard stark,You're too fat for your armor.,disgust,0.868872880935669
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,robert baratheon,"Fat? Fat, is it? Is that how you speak to your King? That was funny, is it?",surprise,0.615843653678894
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,robert baratheon,"Oh, it's funny, is it?",joy,0.5387153625488281
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,lancel lannister,"No, Your Grace.",neutral,0.8746728897094727
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,robert baratheon,No? You don't like the Hando s joke?,anger,0.4189002811908722
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,eddard stark,You're torturing the poor boy.,disgust,0.6082085967063904
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,robert baratheon,"You heard the Hand. The King's too fat for his armor! Go find the breastplate stretcher, now!",disgust,0.821595311164856
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,eddard stark,The breastplate stretcher?,surprise,0.6393393874168396
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,robert baratheon,How long before he figures it out?,neutral,0.7197562456130981
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,eddard stark,Maybe you should have one invented.,neutral,0.9618213772773743
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,robert baratheon,"All right, all right. But you watch me out there. I still know how to point a lance.",neutral,0.8286268711090088
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,eddard stark,You have no business jousting. Leave that for the young men.,neutral,0.7470627427101135
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,robert baratheon,Why? Because I'm king? Piss on that. I want to hit somebody!,anger,0.8303702473640442
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,eddard stark,And who's going to hit you back?,surprise,0.5502468347549438
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,robert baratheon,Anybody who can. And the last man in his saddle... will be you!,anger,0.6394785642623901
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,eddard stark,There's not a man in the Seven Kingdoms would risk hurting you.,neutral,0.599510669708252
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,robert baratheon,Are you telling me those cowards would let me win?,anger,0.5557500720024109
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,eddard stark,Aye.,neutral,0.5630267262458801
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,robert baratheon,Drink.,disgust,0.5478785634040833
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,eddard stark,I'm not thirsty.,neutral,0.8152886629104614
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,robert baratheon,Drink. Your King commands it. Gods! Too fat for my armor.,disgust,0.7429523468017578
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,eddard stark,Your squire... A Lannister boy?,surprise,0.7478435039520264
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,robert baratheon,"Hmm... A bloody idiot... But Cersei insisted. I have Jon Arryn to thank for her. ""Cersei Lannister will make a good match"", he told me. ""You'll need her father on your side."" I thought being King meant I could do whatever I wanted. Enough of this! Let's go watch 'em ride. At least I can smell someone else's blood.",anger,0.5826293230056763
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,eddard stark,Robert?,surprise,0.8446438908576965
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,robert baratheon,"What? Oh! An inspiring sight for the people, eh? Come! Bow before your King! Bow, you shits!",surprise,0.6239957213401794
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,eddard stark,Where's Arya,neutral,0.8093641996383667
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,sansa stark,At her dancing lessons. The Knight of the Flowers.,disgust,0.5567876100540161
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,sansa stark,"Thank you, Ser Loras.",joy,0.4808933734893799
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,sansa stark,Don't let Ser Gregor hurt him.,sadness,0.3712206184864044
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,eddard stark,Hey.,neutral,0.4196608364582062
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,sansa stark,I can't watch.,sadness,0.9023534655570984
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,petyr baelish,100 gold dragons on the Mountain.,neutral,0.5259042978286743
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,renly baratheon,I'll take that bet.,joy,0.5867054462432861
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,petyr baelish,Now what will I buy with 100 gold dragons? A dozen barrels of Dornish wine? Or a girl from the pleasure houses of Lys?,neutral,0.8037068843841553
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,renly baratheon,Or you could even buy a friend.,neutral,0.9413261413574219
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,sansa stark,He's going to die.,sadness,0.391448438167572
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,eddard stark,Ser Loras rides well.,neutral,0.7858686447143555
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,renly baratheon,"Such a shame, Littlefinger. It would have been so nice for you to have a friend.",disgust,0.8330175280570984
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,petyr baelish,"And tell me, Lord Renly, when will you be having your friend?",neutral,0.7214348316192627
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,petyr baelish,"Loras knew his mare was in heat. Quite crafty, really.",neutral,0.8899998068809509
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,sansa stark,Ser Loras would never do that! There's no honor in tricks.,anger,0.7985252141952515
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,petyr baelish,No honor but quite a bit of gold.,neutral,0.6158069372177124
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,robert baratheon,Stop this madness in the name of your King!,anger,0.9670654535293579
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,loras tyrell,"I owe you my life, Ser.",anger,0.619238555431366
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,sandor clegane,I'm no Ser.,neutral,0.6890627145767212
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,catelyn stark,Remove his hood.,neutral,0.7853559851646423
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,marillion,"On that eve, the captive Imp down-wards from his horse did limp, no more would he preen and primp, in garb of red and gold.",neutral,0.45451194047927856
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,tyrion lannister,This isn't the Kingsroad. You said we were riding for Winterfell.,neutral,0.8881262540817261
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,catelyn stark,I did... often and loudly.,neutral,0.4331115186214447
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,tyrion lannister,"Very wise. They'll be out in droves, looking for me in the wrong place. Wordo s probably gotten to my father by now. He'll be offering a handsome reward. Everyone knows a Lannister always pays his debts. Would you be so good as to untie me?",neutral,0.7889101505279541
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,catelyn stark,And why would I do that?,surprise,0.4499504566192627
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,tyrion lannister,Why not? Am I going to run? The hill tribes would kill me for my boots. Unless a Shadowcat ate me first.,fear,0.4721084535121918
